No.	確定	都道府県	市区郡	場所・スポット	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	電話番号	ジャンル	ジャンルフリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	項目順	県順	市順	域順
77	完了	東京都	千代田区	まんだらけCoCoo	101-0022	東京都千代田区神田練塀町13-1	SEEKBASE AKI-OKA MANUFACTURE	35.700864	139.773790				まんだらけ	マンダラケ	まんだらけのソフビ専門店<br />※2019年12月14日オープン	https://www.mandarake.co.jp/dir/cco/newopen.html			チヨダク	マ	21	13	17	2
78		東京都	中央区	ポケモンセンタートウキョーDX ＆ ポケモンカフェ	103-0027	東京都中央区日本橋2-11-2	日本橋髙島屋Ｓ.Ｃ.東館 5F	35.680291	139.774270				ポケモンセンター	ポケモンセンター		https://www.pokemon.co.jp/shop/pokecen/tokyodx/			チュウオウク	ホ	27	13	16	2
79	完了	東京都	北区	ガシャポンのデパート 王子サンスクエア店	114-0002	東京都北区王子1-4-1	サンスクエア 2F namco内	35.752914	139.738848				ガシャポンのデパート	ガシャポンのデパート	バンダイナムコアミューズメントが企画・運営・プロデュースするカプセルトイ専門店。<br />設置総数480面、施設面積約88.50平方メートル㎡(約26.7坪)。<br />※2021年3月5日オープン	https://bandainamco-am.co.jp/others/capsule-toy-store/store/ouji/			キタク	カ	28	13	7	2
80		東京都	墨田区	ポケモンセンタースカイツリータウン	131-0045	東京都墨田区押上1-1-2	東京スカイツリータウン・ソラマチ イーストヤード 4F	35.710201	139.812674				ポケモンセンター	ポケモンセンター		https://www.pokemon.co.jp/shop/pokecen/skytreetown/			スミダク	ホ	27	13	13	2
81	完了	東京都	墨田区	アニメイト錦糸町	130-0013	東京都墨田区錦糸2-13-6	S・ハルヤマビル1F	35.699403	139.813111			03-5608-0850	アニメイト	アニメイト	アニメ・コミック・ゲーム関連グッズ専門店	http://www.animate.co.jp/shop/shop_east/kinshicho/			スミダク	ア	12	13	13	2
82	完了	東京都	江東区	ドラえもん未来デパート	135-0064	東京都江東区青海1-1-10	ダイバーシティ東京 プラザ2F	35.625129	139.775448			03-6380-7272	その他	ソノタ	世界初の「ドラえもん」オフィシャルショップ<br />ショップの他、ひみつ道具のアトラクションが遊べるひみつ道具体験ゾーン、刺繍機でオリジナル商品が作れるカスタマイズゾーンなどがあります。<br />2019年12月1日オープン	https://mirai.dora-world.com/			コウトウク	ソ	29	13	8	2
83	完了	東京都	江東区	THE GUNDAM BASE TOKYO	135-0064	東京都江東区青海1-1-10	ダイバーシティ東京 プラザ7F	35.625129	139.775448				その他	ソノタ	ガンプラのオフィシャルショップ<br />2017年8月19日オープン	https://www.gundam-base.net/			コウトウク	ソ	29	13	8	2
84	完了	東京都	港区	ODAIBAゲーマーズ	135-0091	東京都港区台場1-6-1	デックス東京ビーチ シーサイドモール1F	35.629687	139.776642			03-5962-4481	ゲーマーズ	ゲーマーズ	キャラクターグッズを中心としたアニメ・コミック・ゲーム関連グッズ専門店<br />※2019年10月2日オープン	https://www.gamers.co.jp/shop/shop_detail/113216/			ミナトク	ケ	16	13	22	2
85	完了	東京都	大田区	らしんばん蒲田店	144-0051	東京都大田区西蒲田8-4-12	ユザワヤビル 1F	35.561219	139.713746			03-5480-2088	らしんばん	ラシンバン	同人誌、コミック、アニメCD・DVD・LD、アニメ・ゲームグッズ、PCソフトの中古品販売店<br />※2010年11月27日オープン	https://www.lashinbang.com/store/kamata/			オオタク	ラ	19	13	5	2
86	完了	東京都	大田区	メロンブックス蒲田店	144-0051	東京都大田区西蒲田8-4-12 	ユザワヤビル2F	35.561221	139.713741			03-5714-0771	メロンブックス	メロンブックス	アニメ・コミック・ゲーム系同人誌と音楽CD、関連キャラクターグッズ専門店	https://www.melonbooks.co.jp/shop/shop.php?wp_id=8			オオタク	メ	20	13	5	2
87	完了	東京都	大田区	アニメイト蒲田	144-0051	東京都大田区西蒲田8-4-12 	ユザワヤビル3F	35.561230	139.713736			03-5710-7557	アニメイト	アニメイト	アニメ・コミック・ゲーム関連グッズ専門店	https://www.animate.co.jp/shop/kamata/			オオタク	ア	12	13	5	2
88	完了	東京都	渋谷区	麦わらストア 渋谷本店	150-0041	東京都渋谷区神南1-22-6	渋谷マルイ7F	35.660899	139.701131			03-6452-5080	その他	ソノタ	『ONE PIECE』のオフィシャルショップ<br />2012年オープン	http://www.mugiwara-store.com/store/5153			シブヤク	ソ	29	13	10	2
89		東京都	渋谷区	ポケモンセンターシブヤ	150-0042	東京都渋谷区宇田川町15-1	渋谷PARCO 6F	35.661982	139.698436				ポケモンセンター	ポケモンセンター		https://www.pokemon.co.jp/shop/pokecen/shibuya/			シブヤク	ホ	27	13	10	2
90	完了	東京都	渋谷区	アニメイト渋谷	150-0042	東京都渋谷区宇田川町31-2	渋谷BEAM 3F	35.661367	139.697497			03-5458-2454	アニメイト	アニメイト	アニメ・コミック・ゲーム関連グッズ専門店	http://www.animate.co.jp/shop/shop_east/shibuya/			シブヤク	ア	12	13	10	2
91	完了	東京都	渋谷区	まんだらけ 渋谷店	150-0042	東京都渋谷区宇田川町31-2	渋谷BEAM B2F	35.661385	139.697468			03-3477-0777	まんだらけ	マンダラケ	マンガ専門の古書店	http://www.mandarake.co.jp/shop/index_sby.html			シブヤク	マ	21	13	10	2
92	完了	東京都	渋谷区	ゲーマーズ新宿店	151-0053	東京都渋谷区代々木2-10-1	新宿サンセイビル4F	35.688111	139.698358			03-5308-0555	ゲーマーズ	ゲーマーズ	キャラクターグッズを中心としたアニメ・コミック・ゲーム関連グッズ専門店	https://www.gamers.co.jp/shop/4145/			シブヤク	ケ	16	13	10	2
93	完了	東京都	渋谷区	らしんばん新宿店	151-0053	東京都渋谷区代々木2-10-1	新宿サンセイビル 4F	35.688129	139.698364			0570-008-620	らしんばん	ラシンバン	同人誌、コミック、アニメCD・DVD・LD、アニメ・ゲームグッズ、PCソフトの中古品販売店<br />※2010年11月27日オープン	https://www.lashinbang.com/store/shinjuku_md/			シブヤク	ラ	19	13	10	2
94	完了	東京都	新宿区	駿河屋新宿マルイアネックス店	160-0022	東京都新宿区新宿3-1-26	新宿マルイアネックス5F	35.690078	139.705900			03-6380-0015	駿河屋	スルガヤ	ゲーム・古本・DVD・CD・トレカ・フィギュア 通販ショップ「駿河屋」の実店舗<br />※2019年12月7日オープン	http://www.a-too.co.jp/shopsearch/駿河屋新宿マルイアネックス店/			シンジュクク	ス	23	13	11	2
95	完了	東京都	新宿区	TOWERanime新宿店	160-0022	東京都新宿区新宿3-37-1	フラッグス7～10F	35.689925	139.701522			03-5360-7811	TOWERanime	タワーアニメ	タワーレコードが、既存店を改装して新設したアニソンに特化した専門店<br />同人CDを含むCDならびにDVDなど映像作品をはじめ、書籍、雑誌、コミックからフィギュア、トレーディングカードなど関連グッズ全般を取り扱っています。<br />※2014年5月17日オープンした「TOWERanime」第2号店	https://tower.jp/toweranime/shop/shinjuku/			シンジュクク	タ	25	13	11	2
96	完了	東京都	新宿区	メロンブックス新宿店	160-0023	東京都新宿区西新宿1-4-5	西新宿オークビル4F	35.692923	139.698729			03-5990-5501	メロンブックス	メロンブックス	アニメ・コミック・ゲーム系同人誌と音楽CD、関連キャラクターグッズ専門店	https://www.melonbooks.co.jp/shop/shop.php?wp_id=35			シンジュクク	メ	20	13	11	2
97	完了	東京都	新宿区	アニメイト新宿ハルク	160-0023	東京都新宿区西新宿1-5-1	新宿西口ハルク5F	35.692511	139.698555			03-5919-4321	アニメイト	アニメイト	アニメ・コミック・ゲーム関連グッズ専門店<br />2011年7月2日にアニメイト100店舗目としてオープンした旧・アニメイト新宿が2020年5月20日に移転・改名	http://www.animate.co.jp/shop/shop_east/plus_shinjuku/			シンジュクク	ア	12	13	11	2
98	完了	東京都	新宿区	とらのあな新宿店	160-0023	東京都新宿区西新宿1-18-1	小川ビル6F	35.688928	139.698605			03-5908-1681	とらのあな	トラノアナ	同人誌及びアニメ・コミック・ゲーム関連グッズ専門店	http://www.toranoana.jp/shop/shinjuku/			シンジュクク	ト	14	13	11	2
99	完了	東京都	中野区	まんだらけ 中野店	164-0001	東京都中野区中野5-52-15	中野ブロードウェイ	35.709224	139.665678			03-3228-0007	まんだらけ	マンダラケ	マンガ専門の古書店	http://www.mandarake.co.jp/shop/index_nkn.html			ナカノク	マ	21	13	19	2
100	完了	東京都	中野区	らしんばん中野店 フィギュアホビー館	164-0001	東京都中野区中野5-52-15	中野ブロードウェイ 2F	35.709493	139.665874			03-5318-4601	らしんばん	ラシンバン	フィギュア、ホビー、ぬいぐるみなどに特化した中古品販売店	https://www.lashinbang.com/store/nakano/			ナカノク	ラ	19	13	19	2
101	完了	東京都	中野区	らしんばん中野店 オーディオビジュアル館	164-0001	東京都中野区中野5-52-15	中野ブロードウェイ 2F	35.709272	139.665815			03-5318-4601	らしんばん	ラシンバン	映像音楽メディアに特化した中古品販売店	https://www.lashinbang.com/store/nakano_0/			ナカノク	ラ	19	13	19	2
102	完了	東京都	中野区	らしんばん中野店 アウトレット館	164-0001	東京都中野区中野5-52-15	中野ブロードウェイ 2F	35.709212	139.666168			03-5913-4603	らしんばん	ラシンバン	アウトレット品販売店	https://www.lashinbang.com/store/nakano_3/			ナカノク	ラ	19	13	19	2
103	完了	東京都	豊島区	とらのあな池袋店	170-0013	東京都豊島区東池袋1-9-1	セイコーサンシャインビルXI 6～7F	35.730741	139.714558				とらのあな	トラノアナ	同人誌及びアニメ・コミック・ゲーム関連グッズ専門店	http://www.toranoana.jp/shop/ikebukuro/			トシマク	ト	14	13	18	2
104	完了	東京都	豊島区	フロマージュブックス池袋	170-0013	東京都豊島区東池袋1-12-10	ヤンズビル7F	35.729455	139.714450			03-5962-0690	メロンブックス	メロンブックス	女性向け同人誌専門店	https://www.melonbooks.co.jp/fromagee/shop/shop.php?wp_id=55			トシマク	メ	20	13	18	2
105	完了	東京都	豊島区	K-BOOKS 池袋乙女館	170-0013	東京都豊島区東池袋1-15-1	第一真下ビルB1F	35.730935	139.715171			03-5957-2430	K-BOOKS	ケイブックス	K-BOOKSの乙女向け恋愛系作品の専門店	http://www.k-books.co.jp/company/shop/chara.html			トシマク	ケ	17	13	18	2
106	完了	東京都	豊島区	K-BOOKS 池袋キャラ館	170-0013	東京都豊島区東池袋1-15-13	近代グループBLD.21号館3F	35.730991	139.715173			03-5957-5930	K-BOOKS	ケイブックス	K-BOOKSのキャラクターグッズ専門店	https://www.k-books.co.jp/company/shop/chara.html			トシマク	ケ	17	13	18	2
107	完了	東京都	豊島区	らしんばん池袋本店女性同人館	170-0013	東京都豊島区東池袋1-15-13	近代グループBLD.21号館B1F・4～6F	35.730991	139.715173			03-5956-1855	らしんばん	ラシンバン	女性同人専門の中古販売店	https://www.lashinbang.com/store/ikebukuro_4/			トシマク	ラ	19	13	18	2
108	完了	東京都	豊島区	アニメイトカフェスタンドHareza池袋	170-0013	東京都豊島区東池袋1-16-1	中池袋公園内	35.731676	139.715180			03-6709-0562	アニメイトカフェ	アニメイトカフェ	株式会社アニメイトが運営する、アニメ・ゲーム・マンガなどの作品とコラボレーションしたカフェ<br />※2019年10月24日オープン	https://cafe.animate.co.jp/shop/hrz/			トシマク	ア	13	13	18	2
109	完了	東京都	豊島区	ゲーマーズ池袋店	170-0013	東京都豊島区東池袋1-20-2	池袋ホワイトハウスビル2F	35.730834	139.715799			03-3989-1226	ゲーマーズ	ゲーマーズ	キャラクターグッズを中心としたアニメ・コミック・ゲーム関連グッズ専門店<br />※近代グループBLD.10号館 B1F（東池袋1-23-9）から移転準備のため、2020年2月4日より仮店舗営業中	https://www.gamers.co.jp/shop/4151/			トシマク	ケ	16	13	18	2
110	完了	東京都	豊島区	アニメイトカフェ池袋3号店	170-0013	東京都豊島区東池袋1-20-6	プラザイン池袋3F	35.730981	139.715545			03-5957-0880	アニメイトカフェ	アニメイトカフェ	株式会社アニメイトが運営する、アニメ・ゲーム・マンガなどの作品とコラボレーションしたカフェ<br />※2016年1月27日オープン	https://cafe.animate.co.jp/shop/ikebukuro_3/			トシマク	ア	13	13	18	2
111	完了	東京都	豊島区	アニメイト池袋本店	170-0013	東京都豊島区東池袋1-20-7		35.731107	139.715525			03-3988-1351	アニメイト	アニメイト	アニメ・コミック・ゲーム関連グッズ専門店<br />アニメイトの総本店<br />※1983年にオープンした第1号店で2012年11月17日に現在地に移転	http://www.animate.co.jp/shop/shop_east/ikebukuro/			トシマク	ア	12	13	18	2
112	完了	東京都	豊島区	アニメイトカフェ池袋2号店	170-0013	東京都豊島区東池袋1-21-13	aune池袋4F	35.730523	139.715975			03-5956-3220	アニメイトカフェ	アニメイトカフェ	株式会社アニメイトが運営する、アニメ・ゲーム・マンガなどの作品とコラボレーションしたカフェの第6号店<br />※2014年10月28日オープン	https://cafe.animate.co.jp/shop/ikebukuro_2/			トシマク	ア	13	13	18	2
113	完了	東京都	豊島区	K-BOOKS 池袋キャスト館／池袋VOICE館	170-0013	東京都豊島区東池袋1-28-1	タクトTOビル1Ｆ	35.729422	139.716353			03-5957-3611	K-BOOKS	ケイブックス	池袋キャスト館は、K-BOOKSのミュージカル関連グッズ、CD、DVD専門店<br />池袋VOICE館は、K-BOOKSの男性声優関連商品専門店	http://www.k-books.co.jp/company/shop/cast.html			トシマク	ケ	17	13	18	2
114	完了	東京都	豊島区	駿河屋池袋乙女館 supported by 明輝堂	170-0013	東京都豊島区東池袋1-30-12	城北自動車会館B1～1F	35.731534	139.716463				駿河屋	スルガヤ	ゲーム・古本・DVD・CD・トレカ・フィギュア 通販ショップ「駿河屋」の実店舗<br />※2018年6月9日オープン	http://www.a-too.co.jp/shopsearch/駿河屋池袋店/			トシマク	ス	23	13	18	2
115	完了	東京都	豊島区	まんだらけ 那由多	170-0013	東京都豊島区東池袋1-50-35	P'PARCO B2F	35.731617	139.712362			03-6887-7007	まんだらけ	マンダラケ	マンガ専門の古書店<br />※2019年12月21日オープン	https://www.mandarake.co.jp/dir/nyt/			トシマク	マ	21	13	18	2
116	完了	東京都	豊島区	THEキャラSHOP 池袋PARCO店	170-0013	東京都豊島区東池袋1-50-35	P' PARCO 3F	35.731617	139.712362			03-6912-5985	その他	ソノタ	アニメ・ゲームの各作品をテーマに、取扱い作品が次々と変わるコンセプトショップ	http://ikebukuro.parco.jp/page2/10006/			トシマク	ソ	29	13	18	2
117	完了	東京都	豊島区	TOWERanime池袋店	170-0013	東京都豊島区東池袋1-50-35	P' PARCO 5～6F	35.731617	139.712362			03-3983-2010	TOWERanime	タワーアニメ	タワーレコードが、既存店を改装して新設したアニソンに特化した専門店<br />同人CDを含むCDならびにDVDなど映像作品をはじめ、書籍、雑誌、コミックからフィギュア、トレーディングカードなど関連グッズ全般を取り扱っています。<br />※2019年11月29日オープン	https://tower.jp/toweranime/shop/ikebukuro/			トシマク	タ	25	13	18	2
118	完了	東京都	豊島区	麦わらストア 池袋店	170-0013	東京都豊島区東池袋3-1-1	サンシャインシティ アルパ2F	35.729407	139.718700			03-6903-1557	その他	ソノタ	『ONE PIECE』のオフィシャルショップ<br />2019年11月30日オープン	http://www.mugiwara-store.com/store/1426			トシマク	ソ	29	13	18	2
119		東京都	豊島区	ポケモンセンターメガトウキョー ＆ ピカチュウスイーツ	170-6002	東京都豊島区東池袋3-1-2 	サンシャインシティ 専門店街アルパ 2F	35.729013	139.719194				ポケモンセンター	ポケモンセンター		https://www.pokemon.co.jp/shop/pokecen/megatokyo/			トシマク	ホ	27	13	18	2
120	完了	東京都	豊島区	アニメガ×ソフマップ 池袋サンシャインアルタ店	170-0013	東京都豊島区東池袋3-1-3	サンシャインシティ アルタ1F	35.729153	139.720232			03-6912-7221	アニメガ	アニメガ	文教堂書店のアニメ関連商品の販売に特化した店舗としてスタートした「アニメガ」が、ソフマップに事業譲渡され、2019年11月1日に「アニメガ×ソフマップ」としてリニューアルオープンした店舗	https://www.sofmap.com/tenpo/contents/?id=shops&sid=animega_ikebukurosa			トシマク	ア	22	13	18	2
121	完了	東京都	豊島区	ガシャポンのデパート 池袋総本店	170-0013	東京都豊島区東池袋3-1-3	サンシャインシティ ワールドインポートマートビル3F	35.728826	139.719720				ガシャポンのデパート	ガシャポンのデパート	バンダイナムコアミューズメントが企画・運営・プロデュースするカプセルトイ専門店の旗艦店。施設面積約1256平方メートル（約380坪）、カプセルトイ設置総数3000面で、オープン時には「単一会場におけるカプセルトイ機の最多数」のギネス認定を目指す。<br />※2021年2月26日オープン	https://bandainamco-am.co.jp/others/capsule-toy-store/store/ikebukuro/			トシマク	カ	28	13	18	2
122	完了	東京都	豊島区	ACOS池袋本店	170-0013	東京都豊島区東池袋3-2-1	アニメイトアネックス2～3Ｆ	35.730101	139.71763			03-5979-7471	アニメイト	アニメイト	アニメキャラクターのコスプレ衣装、ウィッグ、グッズなどを販売するアニメイトのコスチューム館	https://www.acos.me/blog/store/ikebukuro/			トシマク	ア	12	13	18	2
123	完了	東京都	豊島区	アニメイトカフェ池袋	170-0013	東京都豊島区東池袋3-2-1	アニメイトアネックス7～8F	35.730101	139.71763			03-5956-5401	アニメイトカフェ	アニメイトカフェ	株式会社アニメイトが運営する、アニメ・ゲーム・マンガなどの作品とコラボレーションしたカフェの第1号店<br />※2012年1月31日オープンし、2012年10月2日に現在地へ移転リニューアルオープン	https://cafe.animate.co.jp/shop/ikebukuro/			トシマク	ア	13	13	18	2
124	完了	東京都	豊島区	らしんばん池袋本店オーディオ・キャスト館	170-0013	東京都豊島区東池袋3-2-3	第1主田ビル 1F	35.730212	139.717693			0570-002-310	らしんばん	ラシンバン	女性向け作品の映像音楽メディアをメインに取り扱う中古品販売店	https://www.lashinbang.com/store/ikebukuro_2/			トシマク	ラ	19	13	18	2
125	完了	東京都	豊島区	らしんばん池袋本店キャラクターグッズ館	170-0013	東京都豊島区東池袋3-2-4	共永ビル 1～2F	35.730256	139.717772			03-3988-2777	らしんばん	ラシンバン	同人誌、コミック、アニメCD・DVD・LD、アニメ・ゲームグッズ、PCソフトの中古品販売店<br />※旧アニメイト池袋本店跡地にオープンした1号店	https://www.lashinbang.com/store/ikebukuro/			トシマク	ラ	19	13	18	2
126	完了	東京都	豊島区	K-BOOKS 池袋ヒストリア館	170-0013	東京都豊島区東池袋3-2-4	コーケンプラザ1F	35.730503	139.717945			03-5979-5711	K-BOOKS	ケイブックス	K-BOOKSの歴史関連作品（刀剣乱舞、薄桜鬼など）グッズの販売・買取専門店	http://www.k-books.co.jp/company/shop/historia.html			トシマク	ケ	17	13	18	2
127	完了	東京都	豊島区	K-BOOKS 池袋アニメ館	170-0013	東京都豊島区東池袋3-2-4	コーケンプラザ2F	35.73033	139.717799			03-3985-5456	K-BOOKS	ケイブックス	K-BOOKSのアニメグッズ専門店	http://www.k-books.co.jp/company/shop/anime.html			トシマク	ケ	17	13	18	2
128	完了	東京都	豊島区	K-BOOKS 池袋コスプレ館	170-0013	東京都豊島区東池袋3-12-5	加藤第一ビル1F	35.731677	139.718574			03-6907-8851	K-BOOKS	ケイブックス	K-BOOKSのコスプレ専門店	http://www.k-books.co.jp/company/shop/cosplay.html			トシマク	ケ	17	13	18	2
129	完了	東京都	豊島区	K-BOOKS 池袋同人館	170-0013	東京都豊島区東池袋3-12-12	正和ビル2～3F	35.731405	139.718588			03-5953-2666	K-BOOKS	ケイブックス	K-BOOKSの同人誌専門店<br />2Fは新刊女性向け同人誌フロア、3FはBL専門フロアとなっています。	http://www.k-books.co.jp/company/shop/doujin-2f.html			トシマク	ケ	17	13	18	2
130	完了	東京都	豊島区	まんだらけ ラララ（池袋店）	170-0013	東京都豊島区東池袋3-15-2	ライオンズマンション池袋B1F	35.730783	139.718051			03-5928-0771	まんだらけ	マンダラケ	マンガ専門の古書店	mandarake.co.jp/shop/bkr/			トシマク	マ	21	13	18	2
131	完了	東京都	豊島区	K-BOOKS 池袋GAME館	170-0013	東京都豊島区東池袋3-15-5	東池袋マンション1Ｆ	35.730753	139.717934			03-5956-5013	K-BOOKS	ケイブックス	K-BOOKSのゲーム作品関連グッズ専門店	http://www.k-books.co.jp/company/shop/select.html			トシマク	ケ	17	13	18	2
132	完了	東京都	豊島区	K-BOOKS 池袋ライブ館	170-0013	東京都豊島区東池袋3-15-14	クレール東池袋1F	35.731225	139.718486			03-3980-6464	K-BOOKS	ケイブックス	K-BOOKSの二次元アイドル作品グッズ専門店	http://www.k-books.co.jp/company/shop/live.html			トシマク	ケ	17	13	18	2
133	完了	東京都	豊島区	アニメガ×ソフマップ 池袋マルイ店	171-0021	東京都豊島区西池袋3-28-13	池袋マルイ7F	35.731396	139.707781			03-6907-3070	アニメガ	アニメガ	文教堂書店のアニメ関連商品の販売に特化した店舗としてスタートした「アニメガ」が、ソフマップに事業譲渡され、2019年11月1日に「アニメガ×ソフマップ」として新たにオープンした店舗	https://www.sofmap.com/tenpo/contents/?id=shops&sid=animega_ikebukuromarui			トシマク	ア	22	13	18	2
134	完了	東京都	豊島区	超！アニメディア劇場	171-0021	東京都豊島区西池袋3-28-13	池袋マルイ7F	35.731406	139.707349				その他	ソノタ	株式会社学研プラスが発行する「月刊アニメディア」誌をはじめとするアニメ専門誌４誌の公式WEBサイト「超！アニメディア」のイベントスペース。併設の「アニメディアショップ」では、アニメ・声優グッズが販売されています。	https://cho-animedia.jp			トシマク	ソ	29	13	18	2
135	完了	東京都	豊島区	THEキャラSHOP 池袋マルイ店	171-0021	東京都豊島区西池袋3-28-13	池袋マルイ7F	35.731228	139.707573			03-6421-7510	その他	ソノタ	アニメ・ゲームの各作品をテーマに、取扱い作品が次々と変わるコンセプトショップ	https://www.0101.co.jp/048/shop-guide/shop-detail.html?shop_id=3682			トシマク	ソ	29	13	18	2
136	完了	東京都	豊島区	メロンブックス池袋店	171-0022	東京都豊島区南池袋1-23-6	KDGビルB1F	35.729076	139.712699			03-5956-5581	メロンブックス	メロンブックス	アニメ・コミック・ゲーム系同人誌と音楽CD、関連キャラクターグッズ専門店	https://www.melonbooks.co.jp/shop/shop.php?wp_id=34			トシマク	メ	20	13	18	2
137	完了	東京都	武蔵野市	アニメイト吉祥寺パルコ	180-0004	東京都武蔵野市吉祥寺本町1-5-1	吉祥寺PARCO 7F	35.703729	139.577846			0422-22-5059	アニメイト	アニメイト	アニメ・コミック・ゲーム関連グッズ専門店	https://www.animate.co.jp/shop/kichijoji/			ムサシノシ	ア	12	13	48	2
138	完了	東京都	立川市	アニメイト立川	190-0023	東京都立川市柴崎町2-3-1	ASAMIビル3～4F	35.699778	139.414846			042-540-4554	アニメイト	アニメイト	アニメ・コミック・ゲーム関連グッズ専門店	https://www.animate.co.jp/shop/tachikawa/			タチカワシ	ア	12	13	34	2
139	完了	東京都	立川市	らしんばん立川店2号館	190-0023	東京都立川市柴崎町2-3-1	ASAMIビル 5F	35.699778	139.414846				らしんばん	ラシンバン	同人誌、コミック、アニメCD・DVD・LD、アニメ・ゲームグッズ、PCソフトの中古品販売店	https://www.lashinbang.com/store/tachikawa/			タチカワシ	ラ	19	13	34	2
140	完了	東京都	立川市	らしんばん立川店本館	190-0023	東京都立川市柴崎町3-7-17	N2ビル 4F	35.696806	139.412151			042-512-7247	らしんばん	ラシンバン	同人誌、コミック、アニメCD・DVD・LD、アニメ・ゲームグッズ、PCソフトの中古品販売店	https://www.lashinbang.com/store/tachikawa2/			タチカワシ	ラ	19	13	34	2
141	完了	東京都	立川市	メロンブックス立川店	190-0023	東京都立川市柴崎町3-7-17	N2ビル5F	35.696806	139.412151			042-595-7645	メロンブックス	メロンブックス	アニメ・コミック・ゲーム系同人誌と音楽CD、関連キャラクターグッズ専門店舗	https://www.melonbooks.co.jp/shop/shop.php?wp_id=38			タチカワシ	メ	20	13	34	2
142	完了	東京都	八王子市	アニメイト八王子	192-0083	東京都八王子市旭町6-6	PIOSビル3F	35.65683	139.337719			042-628-0022	アニメイト	アニメイト	アニメ・コミック・ゲーム関連グッズ専門店	https://www.animate.co.jp/shop/hachioji/			ハチオウジシ	ア	12	13	38	2
143	完了	東京都	八王子市	メロンブックス八王子店	192-0085	東京都八王子市中町1-3	ドンキホｰテ八王子駅前店B1F	35.658571	139.337658			042-660-0587	メロンブックス	メロンブックス	アニメ・コミック・ゲーム系同人誌と音楽CD、関連キャラクターグッズ専門店舗<br />※八王子グランド東京ビル新館2F（中町2-1）から、2019年10月26日に移転リニューアルオープン	https://www.melonbooks.co.jp/shop/shop.php?wp_id=6			ハチオウジシ	メ	20	13	38	2
144	完了	東京都	町田市	アニメイト町田	194-0013	東京都町田市原町田4-11-14	コロンブスビル1～2F	35.54245	139.448672			042-721-6871	アニメイト	アニメイト	アニメ・コミック・ゲーム関連グッズ専門店	https://www.animate.co.jp/shop/machida/			マチダシ	ア	12	13	46	2
145	完了	東京都	町田市	らしんばん町田店	194-0013	東京都町田市原町田4-11-14	コロンブスビル2F	35.54245	139.448672			042-709-3458	らしんばん	ラシンバン	同人誌、コミック、アニメCD・DVD・LD、アニメ・ゲームグッズ、PCソフトの中古品販売店	https://www.lashinbang.com/store/machida/			マチダシ	ラ	19	13	46	2
146	完了	東京都	町田市	ゲーマーズ町田店	194-0013	東京都町田市原町田4-5-8	いちご町田イーストビル2F	35.541806	139.448779			042-709-6255	ゲーマーズ	ゲーマーズ	キャラクターグッズを中心としたアニメ・コミック・ゲーム関連グッズ専門店	https://www.gamers.co.jp/shop/4156/			マチダシ	ケ	16	13	46	2
147	完了	東京都	町田市	miniメロンブックス町田店	194-0013	東京都町田市原町田4-5-8	いちご町田イーストビル2F	35.541806	139.448779			042-850-9365	メロンブックス	メロンブックス	アニメ・コミック・ゲーム系同人誌と音楽CD、関連キャラクターグッズ専門店舗<br />※2019年8月3日オープン	https://www.melonbooks.co.jp/shop/shop.php?wp_id=56			マチダシ	メ	20	13	46	2
148	完了	東京都	町田市	アニメガ×ソフマップ 町田店	194-0013	東京都町田市原町田6-7-8	ビックカメラ町田店 別館内（Tip's町田）1～2F	35.542569	139.447744			0077-78-9888	アニメガ	アニメガ	文教堂書店のアニメ関連商品の販売に特化した店舗としてスタートした「アニメガ」が、ソフマップに事業譲渡され、2019年11月1日に「アニメガ×ソフマップ」として新たにオープンした店舗	https://www.sofmap.com/tenpo/contents/?id=shops&sid=animega_machida			マチダシ	ア	22	13	46	2
149	完了	東京都	多摩市	アニメイト聖蹟桜ヶ丘	206-0011	東京都多摩市関戸4-72	聖蹟桜ヶ丘OPA3F	35.649629	139.446909			042-356-3021	アニメイト	アニメイト	アニメ・コミック・ゲーム関連グッズ専門店	https://www.animate.co.jp/shop/seiseki/			タマシ	ア	12	13	35	2
150	完了	東京都	武蔵村山市	アニメイトイオンモールむさし村山	208-0022	東京都武蔵村山市榎1-1-3	イオンモールむさし村山3F	35.747360	139.384361			042-843-6318	アニメイト	アニメイト	アニメ・コミック・ゲーム関連グッズ専門店	http://www.animate.co.jp/shop/shop_east/musashimurayama/			ムサシムラヤマシ	ア	12	13	49	2
151	完了	神奈川県	川崎市	TOWERanime川崎店	210-0023	神奈川県川崎市川崎区小川町4-1	LA CITTADELLA A棟1F	35.527945	139.698101			044-245-9522	TOWERanime	タワーアニメ	タワーレコードが、既存店を改装して新設したアニソンに特化した専門店<br />同人CDを含むCDならびにDVDなど映像作品をはじめ、書籍、雑誌、コミックからフィギュア、トレーディングカードなど関連グッズ全般を取り扱っています。<br />※2016年3月18日オープン	http://tower.jp/store/kanto/Kawasaki			カワサキシ	タ	25	14	2	2
152	完了	神奈川県	川崎市	アニメイト川崎	212-0014	神奈川県川崎市幸区大宮町1310	ミューザ川崎2F	35.531024	139.69467			044-533-4405	アニメイト	アニメイト	アニメ・コミック・ゲーム関連グッズ専門店	https://www.animate.co.jp/shop/kawasaki/			カワサキシ	ア	12	14	2	2
